"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","should display a CTA (call-to-action) button","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","1514","should have sign-up related page title","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","1396","should have submit button that is enabled by default","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","38","should load the home page with HTTP 200","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","2835","should show error for invalid email format","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","319","should have pricing sub-page links visible","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","205","should have multiple footer links","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","2852","should display the page heading","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","1330","should have email field with email type attribute","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","2297","should allow typing a valid email without immediate error","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","82","should display the navigation bar","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","1540","should have password field of type ""password""","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","1462","should display Terms of Service link","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","85","should have the Pricing link in navigation","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","1373","should display the submit button","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","2031","should display the email input field","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","994","should display the footer","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","1481","should display a link to the login page","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","6797","should display all product pricing cards as clickable","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","53","should display all product pricing sub-page links","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","1232","should display the page h1 heading","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","3203","should show error when submitting empty form","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","24","should have a non-empty page title","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","2518","should allow typing a password","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","24","should have page title longer than 10 characters","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","5555","should navigate to /pricing when Pricing link is clicked","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","813","should have ""Pricing"" in the page title or heading","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","1912","should display the password input field","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","177","should load the pricing page URL","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","103","should display at least one pricing sub-page link","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","13194","should navigate to sign-up page when CTA is clicked","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
"","2902","should load the sign-up page URL","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","71","should have pricing sub-page links with valid href","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","185","should display ""Contact us"" link","Telnyx Pricing Page","2026-07-08","passed","2026-07-08","","","",""
"","1408","should display Privacy Policy link","Telnyx Sign Up Page","2026-07-08","passed","2026-07-08","","","",""
"","175","should display the main h1 heading","Telnyx Home Page","2026-07-08","passed","2026-07-08","","","",""
